Customer_ID,Actual_Churn,Churn_Probability,Monthly_Charges,CLV_24_Months,Expected_Savings,Intervention_Cost,Expected_Profit,Decision,Decision_Threshold,Correct
1090,1,0.9133,65.0,1560.0,712.374,13.0,699.374,INTERVENE,INTERVENE,TP
618,1,0.9126,65.0,1560.0,711.828,13.0,698.828,INTERVENE,INTERVENE,TP
1109,1,0.912,65.0,1560.0,711.36,13.0,698.36,INTERVENE,INTERVENE,TP
889,0,0.9107,65.0,1560.0,710.346,13.0,697.346,INTERVENE,INTERVENE,FP
154,1,0.9085,65.0,1560.0,708.63,13.0,695.63,INTERVENE,INTERVENE,TP
98,1,0.908,65.0,1560.0,708.24,13.0,695.24,INTERVENE,INTERVENE,TP
510,1,0.907,65.0,1560.0,707.46,13.0,694.46,INTERVENE,INTERVENE,TP
1355,0,0.905,65.0,1560.0,705.9,13.0,692.9,INTERVENE,INTERVENE,FP
1197,1,0.9031,65.0,1560.0,704.418,13.0,691.418,INTERVENE,INTERVENE,TP
1164,1,0.9019,65.0,1560.0,703.482,13.0,690.482,INTERVENE,INTERVENE,TP
240,1,0.9014,65.0,1560.0,703.092,13.0,690.092,INTERVENE,INTERVENE,TP
1175,1,0.9004,65.0,1560.0,702.312,13.0,689.312,INTERVENE,INTERVENE,TP
567,1,0.8989,65.0,1560.0,701.142,13.0,688.142,INTERVENE,INTERVENE,TP
1048,0,0.8986,65.0,1560.0,700.908,13.0,687.908,INTERVENE,INTERVENE,FP
973,0,0.8966,65.0,1560.0,699.348,13.0,686.348,INTERVENE,INTERVENE,FP
958,1,0.8949,65.0,1560.0,698.022,13.0,685.022,INTERVENE,INTERVENE,TP
454,0,0.8944,65.0,1560.0,697.632,13.0,684.632,INTERVENE,INTERVENE,FP
1221,1,0.8912,65.0,1560.0,695.136,13.0,682.136,INTERVENE,INTERVENE,TP
568,1,0.8898,65.0,1560.0,694.044,13.0,681.044,INTERVENE,INTERVENE,TP
1338,1,0.8896,65.0,1560.0,693.8879999999999,13.0,680.8879999999999,INTERVENE,INTERVENE,TP
1092,0,0.8893,65.0,1560.0,693.654,13.0,680.654,INTERVENE,INTERVENE,FP
1259,1,0.8893,65.0,1560.0,693.654,13.0,680.654,INTERVENE,INTERVENE,TP
38,1,0.8892,65.0,1560.0,693.576,13.0,680.576,INTERVENE,INTERVENE,TP
1138,1,0.8877,65.0,1560.0,692.4060000000001,13.0,679.4060000000001,INTERVENE,INTERVENE,TP
788,1,0.8874,65.0,1560.0,692.172,13.0,679.172,INTERVENE,INTERVENE,TP
828,1,0.8872,65.0,1560.0,692.016,13.0,679.016,INTERVENE,INTERVENE,TP
627,1,0.8867,65.0,1560.0,691.6260000000001,13.0,678.6260000000001,INTERVENE,INTERVENE,TP
