Customer_ID,Actual_Churn,Churn_Probability,Monthly_Charges,CLV_24_Months,Expected_Savings,Intervention_Cost,Expected_Profit,Decision,Decision_Threshold,Correct
1109,1,0.9298,65.0,1560.0,725.2439999999999,13.0,712.2439999999999,INTERVENE,INTERVENE,TP
889,0,0.929,65.0,1560.0,724.62,13.0,711.62,INTERVENE,INTERVENE,FP
654,1,0.9283,65.0,1560.0,724.074,13.0,711.074,INTERVENE,INTERVENE,TP
788,1,0.9275,65.0,1560.0,723.45,13.0,710.45,INTERVENE,INTERVENE,TP
510,1,0.9249,65.0,1560.0,721.422,13.0,708.422,INTERVENE,INTERVENE,TP
1090,1,0.9241,65.0,1560.0,720.798,13.0,707.798,INTERVENE,INTERVENE,TP
1221,1,0.9238,65.0,1560.0,720.564,13.0,707.564,INTERVENE,INTERVENE,TP
627,1,0.9168,65.0,1560.0,715.1039999999999,13.0,702.1039999999999,INTERVENE,INTERVENE,TP
647,1,0.916,65.0,1560.0,714.48,13.0,701.48,INTERVENE,INTERVENE,TP
746,0,0.9153,65.0,1560.0,713.934,13.0,700.934,INTERVENE,INTERVENE,FP
488,1,0.915,65.0,1560.0,713.7,13.0,700.7,INTERVENE,INTERVENE,TP
995,0,0.9144,65.0,1560.0,713.232,13.0,700.232,INTERVENE,INTERVENE,FP
417,1,0.9141,65.0,1560.0,712.998,13.0,699.998,INTERVENE,INTERVENE,TP
952,0,0.9134,65.0,1560.0,712.452,13.0,699.452,INTERVENE,INTERVENE,FP
1138,1,0.9115,65.0,1560.0,710.97,13.0,697.97,INTERVENE,INTERVENE,TP
1066,1,0.9114,65.0,1560.0,710.8919999999999,13.0,697.8919999999999,INTERVENE,INTERVENE,TP
344,1,0.9107,65.0,1560.0,710.346,13.0,697.346,INTERVENE,INTERVENE,TP
278,1,0.9102,65.0,1560.0,709.956,13.0,696.956,INTERVENE,INTERVENE,TP
83,1,0.9091,65.0,1560.0,709.0980000000001,13.0,696.0980000000001,INTERVENE,INTERVENE,TP
1175,1,0.9088,65.0,1560.0,708.864,13.0,695.864,INTERVENE,INTERVENE,TP
1164,1,0.9068,65.0,1560.0,707.3040000000001,13.0,694.3040000000001,INTERVENE,INTERVENE,TP
794,1,0.9034,65.0,1560.0,704.6519999999999,13.0,691.6519999999999,INTERVENE,INTERVENE,TP
234,1,0.9033,65.0,1560.0,704.574,13.0,691.574,INTERVENE,INTERVENE,TP
34,1,0.903,65.0,1560.0,704.34,13.0,691.34,INTERVENE,INTERVENE,TP
1056,1,0.9018,65.0,1560.0,703.404,13.0,690.404,INTERVENE,INTERVENE,TP
630,1,0.9015,65.0,1560.0,703.17,13.0,690.17,INTERVENE,INTERVENE,TP
618,1,0.9013,65.0,1560.0,703.014,13.0,690.014,INTERVENE,INTERVENE,TP
29,1,0.9013,65.0,1560.0,703.014,13.0,690.014,INTERVENE,INTERVENE,TP
38,1,0.9004,65.0,1560.0,702.312,13.0,689.312,INTERVENE,INTERVENE,TP
387,1,0.898,65.0,1560.0,700.44,13.0,687.44,INTERVENE,INTERVENE,TP
1259,1,0.8976,65.0,1560.0,700.1279999999999,13.0,687.1279999999999,INTERVENE,INTERVENE,TP
711,0,0.8972,65.0,1560.0,699.816,13.0,686.816,INTERVENE,INTERVENE,FP
828,1,0.8969,65.0,1560.0,699.582,13.0,686.582,INTERVENE,INTERVENE,TP
1092,0,0.8961,65.0,1560.0,698.958,13.0,685.958,INTERVENE,INTERVENE,FP
154,1,0.8956,65.0,1560.0,698.568,13.0,685.568,INTERVENE,INTERVENE,TP
586,1,0.8948,65.0,1560.0,697.9440000000001,13.0,684.9440000000001,INTERVENE,INTERVENE,TP
1285,0,0.8943,65.0,1560.0,697.554,13.0,684.554,INTERVENE,INTERVENE,FP
693,1,0.8941,65.0,1560.0,697.398,13.0,684.398,INTERVENE,INTERVENE,TP
235,1,0.894,65.0,1560.0,697.32,13.0,684.32,INTERVENE,INTERVENE,TP
728,1,0.8938,65.0,1560.0,697.164,13.0,684.164,INTERVENE,INTERVENE,TP
285,1,0.8918,65.0,1560.0,695.604,13.0,682.604,INTERVENE,INTERVENE,TP
533,1,0.8917,65.0,1560.0,695.5260000000001,13.0,682.5260000000001,INTERVENE,INTERVENE,TP
229,0,0.8914,65.0,1560.0,695.292,13.0,682.292,INTERVENE,INTERVENE,FP
872,1,0.8912,65.0,1560.0,695.136,13.0,682.136,INTERVENE,INTERVENE,TP
182,1,0.8896,65.0,1560.0,693.8879999999999,13.0,680.8879999999999,INTERVENE,INTERVENE,TP
568,1,0.8896,65.0,1560.0,693.8879999999999,13.0,680.8879999999999,INTERVENE,INTERVENE,TP
1269,0,0.8881,65.0,1560.0,692.718,13.0,679.718,INTERVENE,INTERVENE,FP
100,1,0.8876,65.0,1560.0,692.328,13.0,679.328,INTERVENE,INTERVENE,TP
1339,1,0.8866,65.0,1560.0,691.548,13.0,678.548,INTERVENE,INTERVENE,TP
1048,0,0.8859,65.0,1560.0,691.0020000000001,13.0,678.0020000000001,INTERVENE,INTERVENE,FP
